imageid,text,l1_l4_vector_unweighted,l1_l4_vector_weighted,keyword_vector_unweighted,keyword_vector_weighted,lx,ly,kx,ky,sx,sy
2354,"Figure 2.23. Globally and annually averaged temporal evolution of the instan- taneous all-sky RF (top panel) and surface forcing (bottom panel) due to various  agents, as simulated in the MIROC+SPRINTARS model (Nozawa et al., 2005;  Takemura et al., 2005). This is an illustrative example of the forcings as implemented  and computed in one of the climate models participating in the AR4. Note that there  could be differences in the RFs among models. Most models simulate roughly similar  evolution of the LLGHGs' RF.","[0, 0, 2.0, 2.0]","[0, 0, 160, 160]","[0.02, 0, 0.03, 0.01, 2.0, 5.0]","[2, 0, 3, 1, 200, 500]",3.368334,-0.016056942,1.8015172,-3.8650668,2.2951894,7.723054
184,"Figure 3.10 | Probability ratio (PR) of exceeding (heavy precipitation) thresholds. (a) PR of exceeding the 99th (blue) and 99.9th (red) percentile of pre-industrial daily  precipitation at a given warming level, averaged across land (from Fischer and Knutti, 2015). (b) PR for precipitation extremes (RX1day) for different event probabilities (with RV  indicating return values) in the current climate (1degC of global warming). Shading shows the interquartile (25-75%) range (from Kharin et al., 2018).","[0, 1, 2.0, 1.0]","[0, 1, 160, 80]","[0.02, 0.03, 0.03, 0, 4.0, 2.0]","[2, 3, 3, 0, 400, 200]",0.08713435,-2.957258,7.7941427,1.007858,-13.379559,3.1345947
2220,"Figure 11.11. Temperature anomalies with respect to 1901 to 1950 for fi ve North American land regions for 1906 to 2005 (black line) and as simulated (red envelope) by  MMD models incorporating known forcings; and as projected for 2001 to 2100 by MMD models for the A1B scenario (orange envelope). The bars at the end of the orange enve- lope represent the range of projected changes for 2091 to 2100 for the B1 scenario (blue), the A1B scenario (orange) and the A2 scenario (red). The black line is dashed where  observations are present for less than 50% of the area in the decade concerned. More details on the construction of these fi gures are given in Box 11.1 and Section 11.1.2.","[2, 0, 0, 2.0]","[2, 0, 0, 160]","[0.02, 0.02, 0, 0.01, 2.0, 14.0]","[2, 2, 0, 1, 200, 1400]",7.219917,9.63564,-9.202181,0.602583,1.053855,8.415771
242,"Figure 11.11. Temperature anomalies with respect to 1901 to 1950 for fi ve North American land regions for 1906 to 2005 (black line) and as simulated (red envelope) by  MMD models incorporating known forcings; and as projected for 2001 to 2100 by MMD models for the A1B scenario (orange envelope). The bars at the end of the orange enve- lope represent the range of projected changes for 2091 to 2100 for the B1 scenario (blue), the A1B scenario (orange) and the A2 scenario (red). The black line is dashed where  observations are present for less than 50% of the area in the decade concerned. More details on the construction of these fi gures are given in Box 11.1 and Section 11.1.2.","[2, 0, 1.0, 1.0]","[2, 0, 80, 80]","[0.02, 0.02, 0, 0.01, 2.0, 14.0]","[2, 2, 0, 1, 200, 1400]",-5.3301854,-0.17124154,-9.202181,0.602583,1.053855,8.415771
790,"Figure 1.21 | Levelized Cost of Fuels (LCOF) for commercially available biomass conver- sion technologies covering a range of different discount rates. LCOF estimates for all tech- nologies are based on input data summarized in Annex III and the methodology outlined  in Annex II. The lower bound of the levelized cost range is based on a 3% discount rate  applied to the low ends of the ranges of investment, operations and maintenance (O&M)  and feedstock cost. The higher bound of the levelized cost range is accordingly based  on a 10% discount rate applied to the high end of the ranges of investment, O&M and  feedstock costs. Note that conversion effi ciencies, by-product revenue, capacity factors  and lifetimes were set to average values. HHV stands for 'higher heating value'. For data  and supplementary information see Annex III.","[0, 2, 0, 5.0]","[0, 2, 0, 400]","[0, 0.06, 0.01, 0, 5.0, 2.0]","[0, 6, 1, 0, 500, 200]",9.607771,4.018447,7.141191,2.6829083,5.776097,-14.874793
2103,"Figure 1.1. Observed changes in (a) global average surface temperature; (b) global average sea level from tide gauge (blue) and satellite (red) data; and (c) Northern Hemisphere snow cover for March-April. All differences are relative to corresponding averages for the period 1961-1990. Smoothed curves repre- sent decadal averaged values while circles show yearly values. The shaded areas are the uncertainty intervals estimated from a comprehensive analysis of known uncertainties (a and b) and from the time series (c). {WGI FAQ 3.1 Figure 1, Figure 4.2, Figure 5.13, Figure SPM.3}","[1, 0, 3.0, 1.0]","[1, 0, 240, 80]","[0.04, 0.02, 0.04, 0, 2.0, 5.0]","[4, 2, 4, 0, 200, 500]",2.2103405,-3.6858213,2.12049,-4.0378413,-5.693226,10.588967
1277,"Figure 7.24 | Global primary energy supply of wind energy in long-term scenarios  (median, 25th to 75th percentile range, and full range of scenario results; colour coding is  based on categories of atmospheric CO2 concentration level in 2100; the specifi c number  of scenarios underlying the fi gure is indicated in the right upper corner) (adapted from  Krey and Clarke, 2011; see also Chapter 10).","[0, 0, 1.0, 0]","[0, 0, 80, 0]","[0.01, 0.03, 0.04, 0, 1.0, 3.0]","[1, 3, 4, 0, 100, 300]",-5.7060695,-5.381515,6.5858955,-6.095895,11.390805,-3.5841806
1757,"Figure 3.1. Global GHG emissions (in GtCO2-eq per year) in the absence of additional climate policies: six illustrative SRES marker scenarios (coloured lines) and 80th percentile range of recent scenarios published since SRES (post-SRES) (gray shaded area). Dashed lines show the full range of post- SRES scenarios. The emissions include CO2, CH4, N2O and F-gases. {WGIII 1.3, 3.2, Figure SPM.4}","[1, 0, 1.0, 2.0]","[1, 0, 80, 160]","[0.02, 0.03, 0.01, 0, 1.0, 7.0]","[2, 3, 1, 0, 100, 700]",3.6722677,4.4527965,-1.1941004,-4.410579,8.796918,-9.1742325
337,"Figure 5.2 Cumulative emissions reductions for alternative mitigation measures for 2000-2030 (left-hand panel) and for 2000-2100 (right-hand panel). The figure shows illustrative scenarios from four models (AIM, IMAGE, IPAC and MESSAGE) aiming at the stabilisation at low (490 to 540ppm CO2-eq) and intermediate levels (650ppm CO2-eq) respectively. Dark bars denote reductions for a target of 650ppm CO2-eq and light bars denote the additional reduc- tions to achieve 490 to 540ppm CO2-eq. Note that some models do not consider mitigation through forest sink enhancement (AIM and IPAC) or CCS (AIM) and that the share of low-carbon energy options in total energy supply is also determined by inclusion of these options in the baseline. CCS includes CO2 capture and storage from biomass. Forest sinks include reducing emissions from deforestation. The figure shows emissions reductions from baseline scenarios with cumulative emissions between 6000 to 7000 GtCO2-eq (2000-2100). {WGIII Figure SPM.9}","[2, 0, 2.0, 4.0]","[2, 0, 160, 320]","[0.03, 0, 0.03, 0, 3.0, 9.0]","[3, 0, 3, 0, 300, 900]",7.912053,-0.12795016,-4.8011866,-1.7585276,8.347001,-6.806902
1081,"Figure 7.3: Index of the number of 2-day precipitation events exceeding the station-specific threshold for a 5-year  recurrence interval in the contiguous United States, expressed as a percentage difference from the 1901-1960 mean.  The annual values are averaged over 5-year periods, with the pentad label indicating the ending year of the period.  Annual time series of the number of events are first calculated at individual stations. Next, the grid box time series are  calculated as the average of all stations in the grid box. Finally, a national time series is calculated as the average of  the grid box time series. Data source: GHCN-Daily. (Figure source: CICS-NC and NOAA NCEI).","[0, 2, 2.0, 2.0]","[0, 2, 160, 160]","[0.1, 0.01, 0.11, 0, 2.0, 7.0]","[10, 1, 11, 0, 200, 700]",2.8135066,-0.3129631,-2.0724332,-3.5160153,-13.279115,6.0852532
